request_id,hospital_name,blood_group,units_required,urgency_level,city,request_date
R00036,Rajiv Gandhi Government Hospital,O+,1,High,Surat,2023-12-29
R00037,Fortis Healthcare,B-,2,Medium,Kolkata,2023-11-30
R00038,Manipal Hospital,A-,3,Low,Mumbai,2023-10-13
R00039,Apollo Hospital,O+,2,Critical,Indore,2024-05-20
R00040,Max Super Speciality,A+,1,Medium,Hyderabad,2023-12-03
R00041,Jehangir Hospital,O-,2,Low,Surat,2023-07-01
R00042,Manipal Hospital,B+,2,High,Nashik,2023-10-28
R00043,Manipal Hospital,B+,5,Low,Pune,2023-10-29
R00044,AIIMS,B+,2,Critical,Chennai,2024-07-05
R00045,Lilavati Hospital,A+,2,Medium,Chennai,2023-09-29
R00046,Deenanath Mangeshkar,O+,2,Medium,Delhi,2024-09-02
R00047,Deenanath Mangeshkar,B+,4,High,Surat,2023-05-05
R00048,AIIMS,B+,3,Low,Mumbai,2023-01-15
R00049,Safdarjung Hospital,O-,5,Critical,Hyderabad,2024-12-28
R00050,Medanta,B+,2,Low,Chennai,2023-09-14
R00051,Jehangir Hospital,B+,5,Medium,Ahmedabad,2024-06-26
R00052,AIIMS,B+,3,High,Mumbai,2023-05-15
R00053,Narayana Health,B-,3,Critical,Bhopal,2023-08-27
R00054,Manipal Hospital,O-,1,High,Delhi,2024-08-29
R00055,Rajiv Gandhi Government Hospital,O+,2,High,Nashik,2024-09-29
R00056,Fortis Healthcare,B+,5,Medium,Coimbatore,2023-10-15
R00057,Wockhardt,O+,3,Low,Mumbai,2023-02-16
R00058,Ruby Hall Clinic,O+,3,Low,Thane,2024-10-05
R00059,Medanta,B-,3,High,Rajkot,2023-04-03
R00060,Safdarjung Hospital,O+,1,Critical,Indore,2023-03-04
R00061,Manipal Hospital,B-,2,Low,Mumbai,2023-02-09
R00062,Medanta,A+,3,Medium,Mumbai,2024-02-18
R00063,Lilavati Hospital,A+,5,Low,Ahmedabad,2023-03-05
R00064,Max Super Speciality,O+,2,High,Lucknow,2024-09-29
R00065,Jehangir Hospital,O+,1,Medium,Agra,2024-03-22
R00066,Ruby Hall Clinic,O-,5,Medium,Patna,2024-07-08
R00067,Wockhardt,O-,1,Low,Ahmedabad,2023-05-16
R00068,Fortis Healthcare,A+,3,High,Kolkata,2023-05-28
R00069,Apollo Hospital,B+,2,High,Patna,2024-07-16
R00070,Sir Ganga Ram Hospital,B-,4,Low,Jaipur,2024-04-19
R00071,Safdarjung Hospital,B+,5,Medium,Patna,2023-04-10
R00072,Fortis Healthcare,A+,3,High,Bangalore,2023-02-27
R00073,Lilavati Hospital,A-,4,Medium,Hyderabad,2023-10-22
R00074,Apollo Hospital,A+,2,Critical,Thane,2023-01-28
R00075,Jehangir Hospital,B+,1,Medium,Kanpur,2024-10-27
R00076,Fortis Healthcare,O-,2,Medium,Kanpur,2024-05-23
R00077,Amrita Institute of Medical Sciences,A+,4,High,Visakhapatnam,2024-01-17
R00078,Aster CMI,AB+,3,Low,Chennai,2023-02-22
R00079,Rajiv Gandhi Government Hospital,B+,3,Medium,Mumbai,2023-05-10
R00080,Wockhardt,B+,1,High,Delhi,2023-09-27
R00081,Fortis Healthcare,O+,5,Critical,Surat,2023-11-25
R00082,Rajiv Gandhi Government Hospital,O+,2,Medium,Lucknow,2023-12-02
R00083,Safdarjung Hospital,B+,2,Medium,Agra,2023-01-01
R00084,KEM Hospital,A+,2,Critical,Mumbai,2023-06-18
R00085,Apollo Hospital,B+,2,Critical,Delhi,2023-07-08
R00086,Fortis Healthcare,A+,1,High,Pune,2024-01-14
R00087,Safdarjung Hospital,A+,2,Medium,Bangalore,2024-03-24
R00088,Max Super Speciality,B+,1,Low,Rajkot,2024-01-06
R00089,Kokilaben Dhirubhai Ambani,A+,1,Critical,Nagpur,2024-06-27
R00090,Manipal Hospital,O+,1,Medium,Nagpur,2023-04-15
R00091,Fortis Healthcare,B+,6,Medium,Bhopal,2024-10-09
R00092,Amrita Institute of Medical Sciences,B+,5,High,Ahmedabad,2024-08-17
R00093,Amrita Institute of Medical Sciences,A+,1,Medium,Thane,2024-02-21
R00094,Kokilaben Dhirubhai Ambani,O+,2,Medium,Pune,2024-08-20
R00095,Manipal Hospital,A+,3,High,Bhopal,2024-08-03
R00096,Wockhardt,A+,2,High,Delhi,2023-02-22
R00097,Max Super Speciality,A+,1,High,Mumbai,2023-11-05
R00098,Aster CMI,AB+,2,Low,Visakhapatnam,2023-05-21
R00099,Christian Medical College,O+,2,High,Pune,2024-02-03
R00100,Sir Ganga Ram Hospital,O-,1,High,Hyderabad,2023-12-25
R00101,Kokilaben Dhirubhai Ambani,B+,2,High,Nagpur,2024-09-02
R00102,Christian Medical College,B+,2,Critical,Indore,2024-07-10
R00103,Max Super Speciality,O+,2,Medium,Bangalore,2024-10-30
R00104,Lilavati Hospital,O+,6,Medium,Pune,2023-08-22
R00105,Sir Ganga Ram Hospital,A+,1,High,Delhi,2023-06-09
R00106,Max Super Speciality,AB+,3,High,Kolkata,2023-09-03
R00107,Manipal Hospital,B+,2,High,Indore,2024-09-17
R00108,Jehangir Hospital,B+,5,High,Mumbai,2024-07-13
R00109,Manipal Hospital,A+,2,Medium,Hyderabad,2024-05-26
R00110,Amrita Institute of Medical Sciences,B+,2,High,Chennai,2024-06-02
R00111,Rajiv Gandhi Government Hospital,A+,1,Critical,Ahmedabad,2023-07-30
R00112,Sir Ganga Ram Hospital,B+,1,Low,Pune,2023-05-31
R00113,Christian Medical College,A+,2,High,Pune,2024-09-15
R00114,Wockhardt,AB+,1,Medium,Kolkata,2024-04-22
R00115,KEM Hospital,A+,3,Low,Ahmedabad,2024-07-30
R00116,Ruby Hall Clinic,O+,2,Low,Lucknow,2023-07-12
R00117,AIIMS,B+,5,Medium,Surat,2024-10-27
R00118,Ruby Hall Clinic,A+,4,Medium,Pune,2024-01-23
R00119,Rajiv Gandhi Government Hospital,A+,3,High,Agra,2023-06-13
R00120,Kokilaben Dhirubhai Ambani,B+,2,Medium,Patna,2024-07-11
R00121,Deenanath Mangeshkar,B-,3,High,Mumbai,2023-03-18
R00122,Deenanath Mangeshkar,O+,6,High,Bangalore,2024-09-16
R00123,KEM Hospital,A+,1,Medium,Bangalore,2023-03-05
R00124,Kokilaben Dhirubhai Ambani,B-,2,Medium,Mumbai,2023-12-21
R00125,Safdarjung Hospital,B-,1,High,Chennai,2023-10-06
R00126,Deenanath Mangeshkar,B+,5,Medium,Agra,2024-01-22
R00127,AIIMS,A+,3,Medium,Ahmedabad,2023-08-10
R00128,Narayana Health,O+,1,Low,Mumbai,2024-02-29
R00129,Narayana Health,B-,1,Critical,Jaipur,2024-10-12
R00130,Sir Ganga Ram Hospital,B-,2,High,Kolkata,2024-12-20
R00131,Lilavati Hospital,O+,2,Critical,Rajkot,2024-12-23
R00132,Rajiv Gandhi Government Hospital,O+,1,Low,Nagpur,2024-06-24
R00133,Rajiv Gandhi Government Hospital,O+,2,Medium,Mumbai,2023-11-24
R00134,AIIMS,O+,2,High,Bangalore,2023-07-25
R00135,Aster CMI,O+,2,Critical,Coimbatore,2024-11-15
R00136,Lilavati Hospital,AB+,1,Critical,Kolkata,2023-09-16
R00137,Fortis Healthcare,A+,2,Low,Rajkot,2023-08-20
R00138,KEM Hospital,B+,2,Critical,Kolkata,2023-02-02
R00139,Kokilaben Dhirubhai Ambani,B+,5,Medium,Agra,2024-02-15
R00140,Ruby Hall Clinic,B+,1,Medium,Hyderabad,2024-02-21
R00141,Jehangir Hospital,B+,2,Critical,Kanpur,2023-11-21
R00142,Manipal Hospital,O+,2,Medium,Agra,2023-11-04
R00143,Medanta,B+,3,Critical,Chennai,2024-09-16
R00144,Rajiv Gandhi Government Hospital,A+,3,Critical,Chennai,2024-03-06
R00145,Max Super Speciality,A+,1,High,Surat,2023-09-24
R00146,Jehangir Hospital,O+,3,Medium,Kanpur,2024-07-24
R00147,Safdarjung Hospital,AB+,3,Medium,Rajkot,2023-07-27
R00148,Kokilaben Dhirubhai Ambani,A+,2,Medium,Ahmedabad,2024-10-24
R00149,AIIMS,B-,1,High,Chennai,2024-03-17
R00150,Fortis Healthcare,A-,3,High,Ahmedabad,2024-07-21
R00151,Narayana Health,O+,4,Medium,Kolkata,2024-12-23
R00152,Wockhardt,B+,1,High,Ahmedabad,2024-10-03
R00153,Jehangir Hospital,A+,4,Low,Mumbai,2024-03-14
R00154,AIIMS,A+,2,Medium,Lucknow,2024-03-20
R00155,Fortis Healthcare,O+,3,High,Pune,2023-01-07
R00156,Narayana Health,O+,2,High,Hyderabad,2023-11-27
R00157,Rajiv Gandhi Government Hospital,A+,5,Low,Kanpur,2023-04-09
R00158,Narayana Health,A+,4,Medium,Visakhapatnam,2024-05-17
R00159,Aster CMI,O+,1,Medium,Delhi,2024-10-24
R00160,KEM Hospital,O+,5,Medium,Hyderabad,2024-08-07
R00161,Sir Ganga Ram Hospital,A+,1,High,Ludhiana,2024-05-26
R00162,Christian Medical College,O+,5,Critical,Ahmedabad,2024-02-14
R00163,Ruby Hall Clinic,AB+,4,Critical,Chennai,2024-11-26
R00164,Kokilaben Dhirubhai Ambani,B+,1,Critical,Delhi,2023-08-07
R00165,Medanta,A+,1,Medium,Mumbai,2023-10-04
R00166,Narayana Health,O+,4,Medium,Chennai,2023-09-09
R00167,Jehangir Hospital,B+,3,Low,Indore,2023-05-24
R00168,Narayana Health,B+,2,Medium,Mumbai,2023-07-17
R00169,Apollo Hospital,A+,1,High,Visakhapatnam,2024-02-26
R00170,Safdarjung Hospital,B+,3,High,Pune,2024-07-16
R00171,Aster CMI,O+,3,Medium,Jaipur,2024-05-20
R00172,Wockhardt,O+,5,High,Mumbai,2024-11-20
R00173,Lilavati Hospital,B+,1,Low,Thane,2023-06-18
R00174,Apollo Hospital,O+,5,High,Ahmedabad,2023-08-25
R00175,Deenanath Mangeshkar,A+,3,High,Coimbatore,2024-05-21
R00176,Christian Medical College,A+,3,High,Indore,2023-05-29
R00177,Narayana Health,B+,5,Critical,Chennai,2024-05-25
R00178,Manipal Hospital,O+,2,Medium,Udaipur,2024-04-10
R00179,Rajiv Gandhi Government Hospital,A-,1,Low,Ahmedabad,2024-09-27
R00180,Narayana Health,B+,1,Medium,Nagpur,2024-11-08
R00181,AIIMS,AB+,1,Medium,Ahmedabad,2024-11-05
R00182,Amrita Institute of Medical Sciences,A-,2,Medium,Chennai,2023-06-27
R00183,Manipal Hospital,B+,1,Medium,Bangalore,2023-09-23
R00184,Rajiv Gandhi Government Hospital,B+,6,Critical,Chennai,2024-09-10
R00185,KEM Hospital,O+,3,Critical,Ludhiana,2023-10-19
R00186,Christian Medical College,B+,1,Medium,Lucknow,2024-08-09
R00187,Kokilaben Dhirubhai Ambani,O+,3,High,Bhopal,2023-08-23
R00188,Manipal Hospital,O-,6,High,Ahmedabad,2024-10-28
R00189,Deenanath Mangeshkar,A-,3,Medium,Delhi,2023-02-27
R00190,AIIMS,O+,5,High,Mumbai,2023-08-10
R00191,Aster CMI,AB-,5,Medium,Hyderabad,2023-09-02
R00192,Amrita Institute of Medical Sciences,O+,1,Medium,Thane,2023-11-30
R00193,Manipal Hospital,O+,2,Critical,Udaipur,2023-05-07
R00194,Narayana Health,A+,3,Critical,Mumbai,2024-02-07
R00195,Kokilaben Dhirubhai Ambani,A+,4,Low,Surat,2023-09-20
R00196,Deenanath Mangeshkar,A+,1,Critical,Kolkata,2024-04-20
R00197,Wockhardt,B+,5,Medium,Visakhapatnam,2024-09-28
R00198,Sir Ganga Ram Hospital,O+,1,High,Lucknow,2024-01-30
R00199,Manipal Hospital,O+,2,Medium,Ludhiana,2023-07-27
R00200,KEM Hospital,O+,1,Medium,Mumbai,2024-09-12
R00201,Lilavati Hospital,B+,2,Low,Mumbai,2024-10-18
R00202,Sir Ganga Ram Hospital,O+,3,Medium,Kolkata,2023-06-16
R00203,Max Super Speciality,A+,4,High,Bhopal,2024-08-02
R00204,Christian Medical College,A+,2,High,Bangalore,2024-11-26
R00205,Manipal Hospital,B+,2,High,Kolkata,2024-08-05
R00206,Jehangir Hospital,AB+,4,High,Delhi,2023-04-14
R00207,Medanta,O+,2,High,Hyderabad,2023-11-18
R00208,Max Super Speciality,B-,2,High,Visakhapatnam,2024-05-20
R00209,Deenanath Mangeshkar,O-,3,Medium,Bangalore,2023-03-14
R00210,Narayana Health,O+,4,High,Mumbai,2024-10-18
R00211,Max Super Speciality,A+,4,High,Ahmedabad,2024-03-09
R00212,Apollo Hospital,A+,4,High,Lucknow,2023-01-21
R00213,Christian Medical College,A-,2,Low,Kolkata,2024-09-17
R00214,Fortis Healthcare,O+,4,High,Kolkata,2024-04-20
R00215,KEM Hospital,O+,5,Critical,Lucknow,2023-08-21
R00216,Amrita Institute of Medical Sciences,B+,3,High,Lucknow,2023-04-08
R00217,Amrita Institute of Medical Sciences,B+,1,Medium,Bangalore,2024-01-28
R00218,Medanta,B-,3,Low,Chennai,2024-12-01
R00219,Medanta,O+,1,Low,Kolkata,2024-01-30
R00220,AIIMS,B+,1,Low,Surat,2023-07-19
R00221,Safdarjung Hospital,A+,2,Low,Delhi,2023-07-31
R00222,Sir Ganga Ram Hospital,B+,3,High,Mumbai,2024-09-09
R00223,Kokilaben Dhirubhai Ambani,A+,4,Medium,Lucknow,2024-09-15
R00224,Kokilaben Dhirubhai Ambani,B-,2,Medium,Jaipur,2024-11-06
R00225,Ruby Hall Clinic,O+,1,High,Coimbatore,2024-10-29
R00226,Manipal Hospital,A-,4,High,Delhi,2024-08-11
R00227,Lilavati Hospital,O+,3,High,Surat,2024-04-06
R00228,Aster CMI,AB-,3,Low,Hyderabad,2023-03-02
R00229,Apollo Hospital,A+,5,Critical,Delhi,2023-05-02
R00230,Rajiv Gandhi Government Hospital,B+,2,Critical,Kolkata,2023-01-20
R00231,Jehangir Hospital,O+,6,Critical,Bangalore,2024-02-29
R00232,Ruby Hall Clinic,B+,4,Low,Ahmedabad,2024-04-15
R00233,Lilavati Hospital,A+,2,Critical,Kanpur,2023-10-04
R00234,Wockhardt,O-,2,High,Mumbai,2024-02-06
R00235,Ruby Hall Clinic,B+,2,Medium,Hyderabad,2024-10-19
R00236,Rajiv Gandhi Government Hospital,A+,2,High,Delhi,2024-10-20
R00237,KEM Hospital,B+,2,Critical,Indore,2024-03-19
R00238,Lilavati Hospital,O+,1,Medium,Nagpur,2023-09-05
R00239,Medanta,B+,1,Medium,Vadodara,2024-12-20
R00240,Ruby Hall Clinic,O+,6,High,Lucknow,2023-04-11
R00241,Apollo Hospital,O+,2,Medium,Visakhapatnam,2023-08-14
R00242,Apollo Hospital,A+,6,Medium,Patna,2024-09-02
R00243,Manipal Hospital,O+,3,Critical,Mumbai,2024-03-03
R00244,Wockhardt,AB-,4,Medium,Pune,2023-04-25
R00245,Max Super Speciality,A+,2,Critical,Patna,2024-02-12
R00246,Aster CMI,O+,3,High,Chennai,2023-03-01
R00247,Rajiv Gandhi Government Hospital,AB-,2,High,Delhi,2024-08-10
R00248,Jehangir Hospital,AB+,2,Medium,Delhi,2023-10-19
R00249,Deenanath Mangeshkar,O+,2,High,Lucknow,2024-07-16
R00250,KEM Hospital,A+,1,Medium,Mumbai,2024-09-11
R00251,Rajiv Gandhi Government Hospital,B-,2,Medium,Nagpur,2023-11-15
R00252,Sir Ganga Ram Hospital,B+,2,Medium,Kolkata,2023-09-20
R00253,Jehangir Hospital,O+,6,High,Rajkot,2024-07-04
R00254,Lilavati Hospital,B+,1,Medium,Bangalore,2024-12-13
R00255,Aster CMI,O+,2,Low,Mumbai,2023-03-08
R00256,Sir Ganga Ram Hospital,B+,4,Low,Jaipur,2023-04-29
R00257,AIIMS,B+,1,High,Bangalore,2023-06-05
R00258,Kokilaben Dhirubhai Ambani,O+,1,High,Chennai,2023-03-09
R00259,Narayana Health,O-,5,Medium,Pune,2024-02-20
R00260,Lilavati Hospital,O+,2,High,Bhopal,2023-05-02
R00261,Medanta,B-,3,Medium,Hyderabad,2024-11-17
R00262,Jehangir Hospital,B+,3,Medium,Surat,2024-08-06
R00263,Amrita Institute of Medical Sciences,O+,1,Critical,Pune,2023-05-01
R00264,Christian Medical College,O+,4,Critical,Nagpur,2024-01-26
R00265,Jehangir Hospital,AB+,3,High,Agra,2023-11-08
R00266,Safdarjung Hospital,O+,1,Critical,Bangalore,2024-11-29
R00267,Rajiv Gandhi Government Hospital,AB+,3,Low,Indore,2023-06-09
R00268,Amrita Institute of Medical Sciences,O+,6,High,Udaipur,2023-03-16
R00269,Apollo Hospital,B-,3,Low,Thane,2023-02-25
R00270,Jehangir Hospital,O+,4,Medium,Chennai,2024-10-17
R00271,AIIMS,O+,2,Medium,Vadodara,2023-11-12
R00272,Rajiv Gandhi Government Hospital,B+,4,Medium,Patna,2023-04-16
R00273,Jehangir Hospital,A-,5,Medium,Bhopal,2023-01-03
R00274,Wockhardt,A+,3,High,Pune,2024-06-15
R00275,Rajiv Gandhi Government Hospital,A+,2,Medium,Surat,2024-10-25
R00276,Medanta,B+,2,Critical,Rajkot,2024-05-10
R00277,AIIMS,A+,3,Medium,Bangalore,2024-01-10
R00278,Safdarjung Hospital,B+,3,High,Ahmedabad,2024-08-26
R00279,Deenanath Mangeshkar,B+,2,Medium,Delhi,2023-11-08
R00280,KEM Hospital,A-,5,High,Mumbai,2023-12-21
R00281,AIIMS,AB+,1,Low,Ahmedabad,2023-02-08
R00282,Amrita Institute of Medical Sciences,A+,4,Low,Bhopal,2023-09-26
R00283,Rajiv Gandhi Government Hospital,O+,1,High,Chennai,2024-12-15
R00284,KEM Hospital,O+,1,Medium,Hyderabad,2024-03-08
R00285,Sir Ganga Ram Hospital,O+,3,High,Nagpur,2023-09-28
R00286,Apollo Hospital,A+,1,High,Thane,2024-06-19
R00287,Kokilaben Dhirubhai Ambani,B+,4,Medium,Patna,2024-09-08
R00288,Amrita Institute of Medical Sciences,O-,2,Low,Ahmedabad,2023-08-04
R00289,Medanta,O+,5,High,Rajkot,2023-09-12
R00290,Amrita Institute of Medical Sciences,B+,2,Critical,Hyderabad,2023-08-09
R00291,Manipal Hospital,A+,3,Medium,Hyderabad,2023-11-24
R00292,Manipal Hospital,A+,1,High,Delhi,2024-12-16
R00293,Jehangir Hospital,O+,2,High,Hyderabad,2024-08-12
R00294,Wockhardt,B+,1,High,Pune,2023-08-17
R00295,KEM Hospital,O+,1,Low,Bangalore,2023-11-30
R00296,Fortis Healthcare,A+,2,Medium,Thane,2023-10-27
R00297,Wockhardt,B+,2,Medium,Delhi,2024-01-10
R00298,Apollo Hospital,O+,4,Low,Pune,2024-04-07
R00299,Deenanath Mangeshkar,AB+,3,High,Delhi,2024-06-02
R00300,Manipal Hospital,B+,4,Critical,Kolkata,2024-07-05
R00301,AIIMS,A+,6,Low,Delhi,2024-12-24
R00302,Wockhardt,A+,1,Critical,Ahmedabad,2023-03-28
R00303,Narayana Health,O+,4,Low,Nashik,2023-08-09
R00304,Rajiv Gandhi Government Hospital,O+,5,Medium,Patna,2024-03-30
R00305,Jehangir Hospital,B-,1,Medium,Visakhapatnam,2024-12-14
R00306,Christian Medical College,B+,2,Critical,Bangalore,2024-08-27
R00307,Lilavati Hospital,O+,2,Medium,Mumbai,2023-12-07
R00308,Medanta,O+,3,Medium,Jaipur,2023-03-19
R00309,Ruby Hall Clinic,O-,4,High,Indore,2024-09-18
R00310,Rajiv Gandhi Government Hospital,B+,4,High,Surat,2023-07-19
R00311,Aster CMI,B+,5,High,Thane,2023-06-12
R00312,Sir Ganga Ram Hospital,A+,4,Medium,Delhi,2024-11-03
R00313,Christian Medical College,O+,3,Medium,Bhopal,2023-05-15
R00314,AIIMS,B+,3,Low,Delhi,2024-04-03
R00315,Christian Medical College,O+,3,Medium,Ahmedabad,2024-03-18
R00316,Fortis Healthcare,A+,6,Medium,Jaipur,2023-03-18
R00317,Amrita Institute of Medical Sciences,B+,1,High,Kolkata,2023-06-05
R00318,Apollo Hospital,B+,2,High,Rajkot,2024-01-22
R00319,Fortis Healthcare,O+,1,Medium,Kolkata,2023-04-19
R00320,Aster CMI,B+,3,Medium,Lucknow,2024-09-04
R00321,Fortis Healthcare,A+,3,High,Ahmedabad,2024-10-03
R00322,Medanta,A+,2,Medium,Hyderabad,2023-11-23
R00323,Safdarjung Hospital,O+,5,Medium,Jaipur,2023-01-02
R00324,KEM Hospital,B+,1,Low,Kolkata,2023-02-01
R00325,Medanta,A+,5,High,Mumbai,2024-09-02
R00326,KEM Hospital,A+,1,Medium,Ahmedabad,2024-02-28
R00327,Kokilaben Dhirubhai Ambani,O+,4,High,Rajkot,2023-10-21
R00328,Sir Ganga Ram Hospital,B+,1,Low,Thane,2023-04-26
R00329,Jehangir Hospital,B+,1,Medium,Kanpur,2024-05-22
R00330,Christian Medical College,O+,1,Low,Coimbatore,2023-03-16
R00331,Narayana Health,A-,3,Critical,Mumbai,2024-06-08
R00332,Aster CMI,B+,6,High,Jaipur,2024-05-14
R00333,Safdarjung Hospital,A+,1,Medium,Kanpur,2023-05-01
R00334,Kokilaben Dhirubhai Ambani,O+,2,Medium,Mumbai,2024-04-28
R00335,Max Super Speciality,O+,1,Low,Kanpur,2023-08-22
R00336,Ruby Hall Clinic,O+,1,Critical,Hyderabad,2023-11-13
R00337,Rajiv Gandhi Government Hospital,A+,2,High,Surat,2023-03-15
R00338,Lilavati Hospital,B+,4,Medium,Nagpur,2024-12-21
R00339,AIIMS,B-,2,Medium,Hyderabad,2023-04-05
R00340,Kokilaben Dhirubhai Ambani,B+,1,High,Delhi,2023-01-25
R00341,AIIMS,A+,3,Medium,Patna,2024-02-10
R00342,Fortis Healthcare,B+,1,Low,Mumbai,2023-04-10
R00343,Aster CMI,AB+,1,High,Mumbai,2023-07-05
R00344,Apollo Hospital,A+,1,Medium,Lucknow,2024-07-10
R00345,Safdarjung Hospital,A+,5,Critical,Coimbatore,2024-08-02
R00346,Ruby Hall Clinic,A+,3,Critical,Jaipur,2023-10-11
R00347,Deenanath Mangeshkar,O+,2,Low,Kanpur,2023-02-06
R00348,Wockhardt,AB+,1,Medium,Delhi,2023-10-17
R00349,Wockhardt,A+,1,Low,Coimbatore,2023-07-29
R00350,Medanta,A+,2,High,Ahmedabad,2024-02-16
R00351,Kokilaben Dhirubhai Ambani,B+,2,Critical,Mumbai,2024-08-13
R00352,AIIMS,O+,4,Low,Bangalore,2024-01-07
R00353,Apollo Hospital,A+,3,High,Mumbai,2023-05-09
R00354,Manipal Hospital,O+,2,Critical,Mumbai,2024-08-23
R00355,Aster CMI,AB+,3,Medium,Hyderabad,2023-07-26
R00356,Fortis Healthcare,A+,1,High,Ahmedabad,2024-07-30
R00357,Rajiv Gandhi Government Hospital,B+,2,High,Surat,2024-01-06
R00358,Apollo Hospital,B+,3,Critical,Mumbai,2024-05-31
R00359,Ruby Hall Clinic,A+,2,Critical,Pune,2023-05-26
R00360,Max Super Speciality,B+,2,High,Kanpur,2023-09-04
R00361,Christian Medical College,O+,2,Medium,Coimbatore,2023-08-19
R00362,KEM Hospital,O+,3,Medium,Rajkot,2024-01-05
R00363,Medanta,B+,1,Medium,Nashik,2023-10-22
R00364,Manipal Hospital,O+,1,Critical,Indore,2023-01-22
R00365,KEM Hospital,B+,2,Medium,Ahmedabad,2024-09-06
R00366,Max Super Speciality,A+,4,Medium,Ahmedabad,2024-08-31
R00367,Christian Medical College,O-,5,High,Mumbai,2023-05-03
R00368,Apollo Hospital,B+,2,Critical,Agra,2023-12-29
R00369,KEM Hospital,A+,3,High,Ahmedabad,2023-05-29
R00370,Wockhardt,AB+,2,Low,Delhi,2024-03-17
R00371,Rajiv Gandhi Government Hospital,B-,4,High,Patna,2024-10-16
R00372,Rajiv Gandhi Government Hospital,A+,1,Critical,Delhi,2024-07-23
R00373,Lilavati Hospital,O+,2,High,Bangalore,2023-12-14
R00374,Rajiv Gandhi Government Hospital,A+,1,Low,Hyderabad,2023-05-27
R00375,Sir Ganga Ram Hospital,O+,1,High,Nashik,2023-12-12
R00376,Fortis Healthcare,B+,1,Medium,Pune,2024-07-27
R00377,Wockhardt,O-,2,High,Agra,2024-08-19
R00378,Manipal Hospital,O+,4,Medium,Hyderabad,2023-09-18
R00379,AIIMS,A+,1,Medium,Jaipur,2024-10-06
R00380,Kokilaben Dhirubhai Ambani,B+,2,Medium,Mumbai,2023-06-13
R00381,Narayana Health,O+,2,High,Delhi,2024-11-11
R00382,Max Super Speciality,A+,2,Medium,Delhi,2023-10-30
R00383,Aster CMI,A+,2,Low,Mumbai,2023-06-23
R00384,AIIMS,A+,2,High,Surat,2023-09-18
R00385,Wockhardt,A+,2,Critical,Delhi,2024-08-12
R00386,Ruby Hall Clinic,O+,1,Low,Ahmedabad,2023-04-09
R00387,Kokilaben Dhirubhai Ambani,B+,3,Medium,Jaipur,2024-07-16
R00388,Amrita Institute of Medical Sciences,AB+,3,Medium,Chennai,2023-08-05
R00389,Medanta,A+,4,High,Agra,2024-07-10
R00390,Manipal Hospital,B+,4,Medium,Surat,2023-04-22
R00391,Jehangir Hospital,A-,4,Low,Nashik,2023-10-12
R00392,Ruby Hall Clinic,B+,1,Low,Ahmedabad,2023-12-31
R00393,AIIMS,O+,3,Low,Pune,2023-03-01
R00394,Christian Medical College,A+,3,High,Nashik,2024-08-10
R00395,Medanta,O+,2,Critical,Vadodara,2024-08-15
