request_id,hospital_name,blood_group,units_required,urgency_level,city,request_date
R00106,AIIMS Hospital,A+,7,High,Bangalore,2024-11-09
R00107,Sir Gangaram Hospital,O+,8,High,Jaipur,2024-09-08
R00108,ESI Hospital,O+,4,Low,Hyderabad,2024-01-06
R00109,Narayana Health,B+,9,High,Srinagar,2024-10-27
R00110,Narayana Health,O+,10,Critical,Madurai,2023-09-07
R00111,Safdarjung Hospital,AB+,3,High,Bhopal,2024-06-16
R00112,Apollo Hospitals,A+,3,Medium,Lucknow,2023-05-22
R00113,District Hospital,AB-,2,High,Patna,2024-11-04
R00114,KEM Hospital,O+,10,Medium,Kota,2024-07-28
R00115,Breach Candy Hospital,A+,7,Medium,Agra,2023-01-18
R00116,AIIMS Hospital,B+,10,Medium,Jodhpur,2023-10-19
R00117,Ram Manohar Lohia Hospital,A+,2,High,Kanpur,2023-01-04
R00118,Hinduja Hospital,B+,7,Medium,Dhanbad,2023-12-19
R00119,Sir Gangaram Hospital,B+,3,Medium,Madurai,2024-02-22
R00120,Lilavati Hospital,AB-,1,Critical,Kota,2024-11-10
R00121,KEM Hospital,A+,8,Medium,Chennai,2023-05-01
R00122,Manipal Hospitals,A+,8,High,Gwalior,2023-05-26
R00123,Sir Gangaram Hospital,B+,10,Medium,Solapur,2024-12-12
R00124,Kokilaben Dhirubhai Ambani Hospital,O+,1,Critical,Allahabad,2024-08-02
R00125,District Hospital,B+,6,Medium,Howrah,2024-09-16
R00126,Apollo Hospitals,B+,4,Critical,Kanpur,2024-03-20
R00127,Bombay Hospital,B+,5,Critical,Guwahati,2023-12-16
R00128,Sassoon General Hospital,O+,8,Low,Delhi,2023-01-31
R00129,Apollo Hospitals,B+,8,High,Tiruchirappalli,2024-07-16
R00130,Government General Hospital,A+,7,Medium,Pune,2023-05-31
R00131,Amrita Institute of Medical Sciences,A+,5,Low,Allahabad,2024-02-20
R00132,Kokilaben Dhirubhai Ambani Hospital,A+,6,High,Madurai,2024-08-27
R00133,Amrita Institute of Medical Sciences,B+,8,Medium,Coimbatore,2024-01-03
R00134,Columbia Asia Hospital,A+,5,High,Mysore,2024-07-11
R00135,Apollo Hospitals,B+,3,Critical,Kolkata,2024-11-23
R00136,Primary Health Centre,AB-,9,High,Agra,2023-05-31
R00137,AIIMS Hospital,B+,9,Medium,Meerut,2024-03-20
R00138,Apollo Hospitals,O+,10,High,Tiruchirappalli,2024-11-07
R00139,District Hospital,B+,1,Critical,Nagpur,2023-09-30
R00140,Government General Hospital,O-,7,Medium,Nashik,2023-04-06
R00141,Breach Candy Hospital,O-,4,High,Solapur,2024-07-17
R00142,Sassoon General Hospital,O+,6,Low,Chandigarh,2024-01-27
R00143,Manipal Hospitals,O-,7,Medium,Hubballi,2024-08-09
R00144,Government General Hospital,A+,8,Low,Jaipur,2024-01-23
R00145,Amrita Institute of Medical Sciences,O+,5,Critical,Kota,2023-12-19
R00146,Apollo Hospitals,B+,5,Critical,Gwalior,2024-02-21
R00147,Lilavati Hospital,O+,6,High,Gwalior,2024-10-07
R00148,Breach Candy Hospital,B+,7,Low,Dhanbad,2023-03-16
R00149,Breach Candy Hospital,B+,5,Medium,Vadodara,2023-08-10
R00150,Kokilaben Dhirubhai Ambani Hospital,O-,5,Low,Vijayawada,2023-01-16
R00151,Safdarjung Hospital,A+,4,Critical,Chandigarh,2024-07-29
R00152,Medanta - The Medicity,O+,1,Medium,Mysore,2024-05-08
R00153,Ram Manohar Lohia Hospital,O+,7,Medium,Bhopal,2024-03-12
R00154,Ram Manohar Lohia Hospital,B+,7,Medium,Aligarh,2023-04-11
R00155,Sir Gangaram Hospital,B+,6,High,Agra,2024-11-19
R00156,Primary Health Centre,A+,10,Medium,Vijayawada,2024-12-03
R00157,ESI Hospital,O+,2,Medium,Surat,2023-05-30
R00158,Medanta - The Medicity,O-,2,High,Vadodara,2023-07-14
R00159,ESI Hospital,O+,6,Critical,Raipur,2024-06-25
R00160,Narayana Health,O+,9,High,Delhi,2023-11-18
R00161,Lilavati Hospital,A+,5,Medium,Bangalore,2024-08-08
R00162,Lilavati Hospital,B+,7,Medium,Kota,2023-12-11
R00163,Government General Hospital,B+,2,High,Ahmedabad,2023-05-04
R00164,Max Super Speciality Hospital,AB+,6,High,Jaipur,2023-09-15
R00165,AIIMS Hospital,A+,6,High,Srinagar,2023-07-16
R00166,ESI Hospital,AB+,10,High,Ludhiana,2023-10-01
R00167,District Hospital,O+,6,Medium,Ranchi,2024-02-13
R00168,District Hospital,A+,6,Medium,Howrah,2024-07-08
R00169,Sir Gangaram Hospital,A+,4,Low,Hyderabad,2023-06-02
R00170,Ram Manohar Lohia Hospital,A+,5,Low,Bareilly,2023-09-04
R00171,AIIMS Hospital,O+,4,Critical,Meerut,2024-08-24
R00172,Narayana Health,B+,6,High,Allahabad,2023-11-15
R00173,Manipal Hospitals,A+,9,Medium,Kanpur,2024-06-05
R00174,Fortis Healthcare,O+,5,Medium,Delhi,2023-10-06
R00175,Breach Candy Hospital,A+,5,Critical,Tiruchirappalli,2024-10-03
R00176,District Hospital,B+,3,Medium,Aligarh,2023-02-11
R00177,Sassoon General Hospital,O+,7,High,Bareilly,2023-01-31
R00178,Medanta - The Medicity,AB+,5,Low,Kanpur,2023-06-18
R00179,Bombay Hospital,AB+,2,Low,Aligarh,2024-05-04
R00180,Columbia Asia Hospital,A+,9,Critical,Hubballi,2023-08-18
R00181,Breach Candy Hospital,A+,5,Critical,Rajkot,2023-01-02
R00182,Sir Gangaram Hospital,AB+,7,High,Ludhiana,2023-01-07
R00183,Sassoon General Hospital,A+,7,Critical,Chandigarh,2024-11-14
R00184,Civil Hospital,O+,10,Critical,Gwalior,2024-06-10
R00185,Hinduja Hospital,B+,8,Low,Jabalpur,2024-03-20
R00186,Safdarjung Hospital,B+,4,Medium,Pimpri,2024-09-06
R00187,Columbia Asia Hospital,A-,7,Medium,Faridabad,2024-02-05
R00188,Sir Gangaram Hospital,O+,3,Medium,Dhanbad,2024-02-03
R00189,District Hospital,O+,9,High,Visakhapatnam,2023-03-06
R00190,District Hospital,B+,8,Medium,Bhopal,2023-02-26
R00191,Medanta - The Medicity,AB+,10,Medium,Kota,2023-04-30
R00192,Amrita Institute of Medical Sciences,B+,9,Medium,Visakhapatnam,2024-02-01
R00193,Kokilaben Dhirubhai Ambani Hospital,B+,2,High,Chandigarh,2024-05-30
R00194,KEM Hospital,B+,4,Medium,Kanpur,2023-07-26
R00195,Kokilaben Dhirubhai Ambani Hospital,B+,1,Low,Varanasi,2023-03-18
R00196,Columbia Asia Hospital,B+,8,Medium,Hyderabad,2023-03-25
R00197,Civil Hospital,A+,4,High,Coimbatore,2024-11-15
R00198,District Hospital,A+,4,Low,Mumbai,2023-07-17
R00199,ESI Hospital,A+,7,Critical,Kanpur,2024-09-18
R00200,Sir Gangaram Hospital,A-,6,Critical,Aurangabad,2023-12-09
R00201,Lilavati Hospital,O+,3,Critical,Ahmedabad,2023-01-27
R00202,Narayana Health,AB-,8,Medium,Ahmedabad,2023-02-19
R00203,Government General Hospital,O-,2,Medium,Kanpur,2023-03-09
R00204,Christian Medical College,B+,1,Medium,Jabalpur,2024-01-20
R00205,Narayana Health,B+,2,High,Bareilly,2024-06-24
R00206,Sassoon General Hospital,O+,9,Low,Howrah,2023-02-27
R00207,Sir Gangaram Hospital,AB+,5,High,Jabalpur,2024-09-18
R00208,Safdarjung Hospital,B-,5,Low,Hyderabad,2024-10-25
R00209,Narayana Health,AB+,6,Low,Lucknow,2023-10-13
R00210,Sassoon General Hospital,AB+,3,High,Bangalore,2023-03-24
R00211,Government General Hospital,O+,1,Critical,Surat,2023-10-28
R00212,Sir Gangaram Hospital,O+,8,Critical,Kanpur,2024-10-06
R00213,Narayana Health,O-,7,Medium,Mysore,2024-09-13
R00214,Hinduja Hospital,O-,8,Medium,Jaipur,2023-03-16
R00215,AIIMS Hospital,B+,9,Critical,Ludhiana,2023-11-26
R00216,Narayana Health,A+,2,High,Howrah,2023-02-25
R00217,Hinduja Hospital,A+,5,Medium,Agra,2024-04-09
R00218,ESI Hospital,A+,2,High,Pimpri,2024-02-22
R00219,AIIMS Hospital,A+,8,Medium,Chandigarh,2023-07-01
R00220,Columbia Asia Hospital,B+,4,Medium,Kolkata,2024-10-06
R00221,Kokilaben Dhirubhai Ambani Hospital,A+,4,High,Meerut,2024-06-18
R00222,Government General Hospital,AB-,10,Medium,Aligarh,2023-07-20
R00223,Manipal Hospitals,A+,8,Medium,Solapur,2024-08-19
R00224,Government General Hospital,B+,7,Medium,Thane,2024-03-29
R00225,Medanta - The Medicity,A+,1,Critical,Mumbai,2024-10-19
R00226,Bombay Hospital,O+,7,High,Madurai,2024-02-26
R00227,Max Super Speciality Hospital,O+,10,Medium,Pimpri,2024-10-04
R00228,Sassoon General Hospital,B+,3,High,Chandigarh,2023-05-28
R00229,Hinduja Hospital,O+,5,Medium,Amritsar,2023-02-21
R00230,Kokilaben Dhirubhai Ambani Hospital,A+,8,Critical,Vadodara,2024-01-13
R00231,Hinduja Hospital,O+,6,Critical,Chandigarh,2023-08-14
R00232,Manipal Hospitals,AB+,8,High,Meerut,2024-10-14
R00233,KEM Hospital,B+,5,Critical,Ranchi,2023-10-14
R00234,AIIMS Hospital,A+,10,Critical,Surat,2023-10-04
R00235,District Hospital,A+,9,High,Aurangabad,2023-01-18
R00236,Lilavati Hospital,O+,6,Medium,Patna,2024-05-22
R00237,Narayana Health,AB-,9,High,Srinagar,2024-03-27
R00238,Safdarjung Hospital,A-,4,Critical,Varanasi,2024-03-29
R00239,Safdarjung Hospital,B+,2,High,Patna,2024-09-05
R00240,Bombay Hospital,A+,8,Medium,Guwahati,2023-10-16
R00241,Ram Manohar Lohia Hospital,A+,5,Medium,Amritsar,2024-02-05
R00242,Apollo Hospitals,O+,2,Medium,Coimbatore,2023-06-16
R00243,Hinduja Hospital,B+,6,Medium,Indore,2023-03-01
R00244,Breach Candy Hospital,B+,3,Medium,Aligarh,2024-04-04
R00245,ESI Hospital,O-,1,Low,Kolkata,2023-05-24
R00246,Hinduja Hospital,B+,6,Critical,Jaipur,2024-02-17
R00247,Ram Manohar Lohia Hospital,B+,8,Critical,Raipur,2024-02-26
R00248,Safdarjung Hospital,A-,1,High,Varanasi,2024-11-18
R00249,Hinduja Hospital,AB+,3,Medium,Visakhapatnam,2023-05-14
R00250,Civil Hospital,AB+,6,Critical,Jabalpur,2024-09-02
R00251,AIIMS Hospital,A+,10,High,Hyderabad,2023-05-21
R00252,Breach Candy Hospital,O+,3,Critical,Faridabad,2023-12-19
R00253,AIIMS Hospital,O+,7,Medium,Bhopal,2023-01-20
R00254,Kokilaben Dhirubhai Ambani Hospital,AB-,6,High,Visakhapatnam,2024-07-22
R00255,Medanta - The Medicity,O+,9,Low,Bangalore,2023-04-05
R00256,Columbia Asia Hospital,A-,6,Critical,Jodhpur,2024-05-18
R00257,Max Super Speciality Hospital,A+,7,Medium,Gwalior,2024-10-02
R00258,AIIMS Hospital,O+,2,High,Bangalore,2024-04-30
R00259,AIIMS Hospital,A+,10,Low,Chandigarh,2024-01-29
R00260,Kokilaben Dhirubhai Ambani Hospital,A+,4,Medium,Raipur,2023-02-18
R00261,Fortis Healthcare,A+,5,High,Coimbatore,2023-06-14
R00262,Medanta - The Medicity,O+,2,Critical,Bangalore,2024-08-01
R00263,Safdarjung Hospital,A+,10,Medium,Bhopal,2024-12-17
R00264,Government General Hospital,B+,10,High,Vadodara,2024-09-08
R00265,Primary Health Centre,A+,10,Low,Solapur,2023-03-10
R00266,Lilavati Hospital,O+,7,Critical,Kolkata,2023-09-27
R00267,Primary Health Centre,B+,4,High,Ranchi,2023-01-24
R00268,Manipal Hospitals,A+,9,Critical,Guwahati,2024-02-11
R00269,Christian Medical College,O+,8,High,Aligarh,2024-06-20
R00270,Primary Health Centre,O+,10,Medium,Varanasi,2024-11-21
R00271,Civil Hospital,B-,9,Medium,Dhanbad,2024-06-30
R00272,Ram Manohar Lohia Hospital,A-,8,Medium,Coimbatore,2023-09-27
R00273,Manipal Hospitals,AB+,5,Medium,Pimpri,2023-03-10
R00274,Civil Hospital,O+,9,Critical,Dhanbad,2023-07-19
R00275,Civil Hospital,A+,5,Medium,Guwahati,2023-07-23
R00276,Government General Hospital,A-,8,High,Rajkot,2023-07-27
R00277,Kokilaben Dhirubhai Ambani Hospital,B+,4,Critical,Thane,2024-04-09
R00278,Fortis Healthcare,O+,5,High,Allahabad,2023-08-26
R00279,Max Super Speciality Hospital,O+,4,Low,Coimbatore,2023-04-02
R00280,Primary Health Centre,A+,2,Medium,Kanpur,2023-05-16
R00281,District Hospital,A+,4,Medium,Ludhiana,2023-11-18
R00282,Amrita Institute of Medical Sciences,O+,5,Medium,Kanpur,2024-01-02
R00283,Lilavati Hospital,O+,6,High,Mysore,2023-06-25
R00284,Christian Medical College,O+,4,High,Mumbai,2023-07-27
R00285,Christian Medical College,O+,10,Critical,Lucknow,2023-12-20
R00286,Hinduja Hospital,B+,4,High,Meerut,2024-02-15
R00287,Safdarjung Hospital,A+,6,Medium,Tiruchirappalli,2023-04-22
R00288,Ram Manohar Lohia Hospital,AB-,7,Medium,Jaipur,2024-04-23
R00289,Columbia Asia Hospital,B+,7,Critical,Jodhpur,2024-07-11
R00290,Amrita Institute of Medical Sciences,B+,4,High,Guwahati,2023-03-23
R00291,Civil Hospital,B+,5,High,Varanasi,2024-04-20
R00292,KEM Hospital,O+,3,Medium,Aurangabad,2023-01-11
R00293,Manipal Hospitals,A+,5,Medium,Aligarh,2023-07-29
R00294,Max Super Speciality Hospital,A+,10,Medium,Varanasi,2023-06-18
R00295,ESI Hospital,AB-,5,Medium,Srinagar,2024-11-25
R00296,Breach Candy Hospital,O+,4,High,Jodhpur,2023-04-15
R00297,Apollo Hospitals,O+,6,Medium,Pimpri,2023-03-22
R00298,District Hospital,AB+,5,Medium,Thane,2024-09-09
R00299,ESI Hospital,A+,8,Critical,Bhopal,2023-06-17
R00300,Safdarjung Hospital,B+,2,Medium,Tiruchirappalli,2023-01-01
R00301,Government General Hospital,O+,6,Low,Nashik,2024-01-24
R00302,Columbia Asia Hospital,B+,2,High,Dhanbad,2023-04-26
R00303,Bombay Hospital,O+,6,Low,Jabalpur,2023-08-13
R00304,Kokilaben Dhirubhai Ambani Hospital,A-,4,Critical,Coimbatore,2024-03-08
R00305,Max Super Speciality Hospital,A+,1,Medium,Srinagar,2023-09-01
R00306,Government General Hospital,AB+,6,High,Hubballi,2024-06-09
R00307,Manipal Hospitals,O+,3,High,Bangalore,2024-11-16
R00308,ESI Hospital,O-,7,Low,Bhopal,2023-11-22
R00309,ESI Hospital,O+,3,High,Thane,2023-05-16
R00310,Government General Hospital,AB+,10,Critical,Patna,2024-04-23
R00311,Safdarjung Hospital,AB-,4,Medium,Surat,2024-05-22
R00312,Ram Manohar Lohia Hospital,O+,9,Low,Mysore,2024-07-13
R00313,Government General Hospital,A+,7,Critical,Hyderabad,2024-08-10
R00314,Breach Candy Hospital,O-,4,High,Agra,2023-12-20
R00315,Amrita Institute of Medical Sciences,B-,2,High,Pimpri,2024-01-21
R00316,Max Super Speciality Hospital,O-,5,Medium,Agra,2023-05-05
R00317,Lilavati Hospital,O+,8,High,Kota,2023-07-14
R00318,Sir Gangaram Hospital,A+,2,High,Bhopal,2023-08-12
R00319,Sir Gangaram Hospital,A+,9,High,Bangalore,2024-04-03
R00320,Bombay Hospital,B+,5,High,Chandigarh,2023-03-18
R00321,Narayana Health,A-,6,High,Coimbatore,2024-11-14
R00322,Apollo Hospitals,B+,7,Low,Raipur,2024-07-12
R00323,Lilavati Hospital,AB+,9,Medium,Jodhpur,2023-10-31
R00324,Medanta - The Medicity,B+,7,Low,Bhopal,2023-11-11
R00325,Primary Health Centre,A+,4,High,Ludhiana,2023-09-28
R00326,Amrita Institute of Medical Sciences,O-,5,Critical,Ludhiana,2024-08-29
R00327,Medanta - The Medicity,B+,3,Critical,Mumbai,2023-02-20
R00328,Amrita Institute of Medical Sciences,O+,1,High,Dhanbad,2023-06-22
R00329,Primary Health Centre,A+,3,Low,Tiruchirappalli,2024-08-15
R00330,Sir Gangaram Hospital,O+,1,Low,Howrah,2023-11-27
R00331,Apollo Hospitals,A+,5,Medium,Bareilly,2023-02-18
R00332,Christian Medical College,O+,7,High,Jodhpur,2023-05-25
R00333,District Hospital,O+,9,Medium,Hubballi,2024-02-10
R00334,Civil Hospital,O+,4,Medium,Nashik,2023-10-29
R00335,KEM Hospital,B+,10,Medium,Howrah,2024-06-06
R00336,Breach Candy Hospital,A+,10,Medium,Dhanbad,2023-02-14
R00337,Bombay Hospital,O+,1,High,Aligarh,2023-04-07
R00338,Kokilaben Dhirubhai Ambani Hospital,B+,7,Critical,Ranchi,2024-03-17
R00339,Medanta - The Medicity,A-,3,Medium,Bhopal,2023-10-10
R00340,Primary Health Centre,B+,1,Medium,Raipur,2023-10-19
R00341,Government General Hospital,A+,4,Medium,Dhanbad,2023-02-24
R00342,Breach Candy Hospital,B+,9,Low,Bangalore,2023-08-31
R00343,AIIMS Hospital,B+,6,High,Solapur,2024-04-07
R00344,Safdarjung Hospital,A-,6,High,Delhi,2023-07-29
R00345,Apollo Hospitals,B+,7,High,Rajkot,2024-11-29
R00346,Breach Candy Hospital,B+,1,Critical,Pimpri,2023-09-14
R00347,Sir Gangaram Hospital,O+,5,Critical,Delhi,2023-04-15
R00348,Manipal Hospitals,O+,4,Critical,Madurai,2024-02-12
R00349,Apollo Hospitals,A+,4,High,Bangalore,2024-04-26
R00350,Manipal Hospitals,O+,7,Critical,Visakhapatnam,2024-07-01
R00351,Medanta - The Medicity,O+,2,High,Faridabad,2023-04-21
R00352,Breach Candy Hospital,O+,5,Critical,Delhi,2023-05-26
R00353,Max Super Speciality Hospital,O-,7,Low,Kolkata,2024-04-19
R00354,Amrita Institute of Medical Sciences,B+,3,Low,Madurai,2024-05-26
R00355,Bombay Hospital,O+,2,Medium,Rajkot,2024-11-14
R00356,Narayana Health,O+,1,Medium,Mysore,2024-06-09
R00357,Medanta - The Medicity,B+,5,Medium,Kolkata,2023-06-24
R00358,Primary Health Centre,O+,5,Medium,Kanpur,2023-07-11
R00359,KEM Hospital,B+,4,Medium,Ludhiana,2023-03-18
R00360,Medanta - The Medicity,A+,8,High,Bhopal,2023-01-15
R00361,Kokilaben Dhirubhai Ambani Hospital,A+,2,Low,Kolkata,2023-06-15
R00362,District Hospital,O+,4,High,Howrah,2024-10-16
R00363,Primary Health Centre,O+,5,High,Bangalore,2023-04-05
R00364,KEM Hospital,B-,9,Medium,Raipur,2024-05-18
R00365,Max Super Speciality Hospital,B+,3,Low,Patna,2024-08-26
R00366,Safdarjung Hospital,A+,1,High,Aurangabad,2024-07-03
R00367,Safdarjung Hospital,B+,4,Medium,Allahabad,2023-07-06
R00368,Breach Candy Hospital,O+,10,High,Surat,2023-04-15
R00369,Bombay Hospital,O+,6,Low,Varanasi,2024-10-05
R00370,KEM Hospital,O+,7,Medium,Aurangabad,2023-07-18
R00371,District Hospital,O-,4,High,Nagpur,2023-09-25
R00372,District Hospital,O+,4,Medium,Vadodara,2024-06-15
R00373,Breach Candy Hospital,A+,6,Critical,Srinagar,2024-03-05
R00374,Primary Health Centre,B+,1,High,Varanasi,2023-06-25
R00375,Fortis Healthcare,A+,5,Medium,Nagpur,2024-08-09
R00376,Safdarjung Hospital,B+,3,Medium,Meerut,2024-07-13
R00377,Safdarjung Hospital,O+,8,High,Aurangabad,2023-12-15
R00378,Fortis Healthcare,A+,5,High,Thane,2024-05-18
R00379,Apollo Hospitals,O+,7,Medium,Solapur,2024-12-04
R00380,Sir Gangaram Hospital,AB+,8,Medium,Solapur,2024-09-13
R00381,Fortis Healthcare,O+,8,High,Dhanbad,2024-03-24
R00382,ESI Hospital,A+,2,High,Vijayawada,2023-08-28
R00383,Hinduja Hospital,A+,2,High,Allahabad,2024-03-12
R00384,Kokilaben Dhirubhai Ambani Hospital,AB-,10,Medium,Aligarh,2023-08-26
R00385,Sassoon General Hospital,O+,5,Low,Pune,2024-07-06
R00386,Apollo Hospitals,O+,3,Critical,Coimbatore,2023-09-06
R00387,Sir Gangaram Hospital,O+,10,Medium,Ranchi,2023-04-28
R00388,Manipal Hospitals,A+,1,Medium,Kanpur,2024-06-11
